Runtime,Director,Writer,Actor,Rating,Target
88,Barry Sonnenfeld,"Lowell Cunningham (comic book ""Malibu Comics""), Robert Gordon , Robert Gordon , Barry Fanaro ","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",6.1,0
106,Tim Story,"Mark Frost, Michael France, Stan Lee , Jack Kirby ","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",5.7,0
125,Steven Soderbergh,"George Nolfi, George Clayton Johnson , Jack Golden Russell ","Brad Pitt, Catherine Zeta-Jones, George Clooney, Ed Kross",6.4,0
123,Nick Cassavetes,"Jeremy Leven , Jan Sardi , Nicholas Sparks ","Tim Ivey, Gena Rowlands, Starletta DuPois, James Garner",7.9,1
138,Peter Weir,"Patrick O'Brian , Peter Weir , John Collee ","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall",7.4,1
143,Andrew Adamson,"Ann Peacock , Andrew Adamson , Christopher Markus , Stephen McFeely , C.S. Lewis ","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",6.9,1
116,Judd Apatow,"Judd Apatow, Steve Carell","Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",7.1,1
119,Hayao Miyazaki,"Hayao Miyazaki , Diana Wynne Jones ","Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin",8.2,1
86,"Eric Darnell, Tom McGrath","Mark Burton, Billy Frolick, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",6.9,1
130,"Fernando Meirelles, Kátia Lund","Paulo Lins , Bráulio Mantovani ","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva",8.7,1
118,Dominic Sena,"H.B. Halicki, Scott Rosenberg ","Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross",6.5,0
101,Paul W.S. Anderson,"Dan O'Bannon (""Alien"" characters), Ronald Shusett (""Alien"" characters), Jim Thomas (""Predator"" characters), John Thomas (""Predator"" characters), Paul W.S. Anderson , Dan O'Bannon , Ronald Shusett , Paul W.S. Anderson ","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",5.6,0
175,Oliver Stone,"Oliver Stone, Christopher Kyle, Laeta Kalogridis","Anthony Hopkins, David Bedella, Jessie Kamm, Angelina Jolie",5.5,0
108,Beeban Kidron,"Helen Fielding , Andrew Davies , Helen Fielding , Richard Curtis , Adam Brooks ","Renée Zellweger, Gemma Jones, Jim Broadbent, James Faulkner",5.9,0
121,Francis Lawrence,"Jamie Delano (comic book ""Hellblazer""), Garth Ennis (comic book ""Hellblazer""), Kevin Brodbin , Kevin Brodbin , Frank A. Cappello ","Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou",6.9,1
118,Andy Tennant,Kevin Bisch,"Will Smith, Eva Mendes, Kevin James, Amber Valletta",6.6,0
94,Alexander Witt,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Oded Fehr, Thomas Kretschmann",6.2,0
131,Jon Turteltaub,"Jim Kouf , Cormac Wibberley , Marianne Wibberley , Jim Kouf , Oren Aviv , Charles Segars ","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",6.9,1
102,Guy Ritchie,Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt",8.3,1
120,Michael Mann,Stuart Beattie,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",7.6,1
97,Mark Waters,"Rosalind Wiseman , Tina Fey ","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",7,1
187,Peter Jackson,"Fran Walsh , Philippa Boyens , Peter Jackson , Merian C. Cooper , Edgar Wallace ","Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",7.2,1
133,Barry Levinson,"Barry Morrow , Ronald Bass , Barry Morrow ","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",8,1
87,Louis Leterrier,"Luc Besson , Robert Mark Kamen , Luc Besson, Robert Mark Kamen","Jason Statham, Alessandro Gassman, Amber Valletta, Kate Nauta",6.3,0
99,Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin",6.8,1
103,Thomas Bezucha,Thomas Bezucha,"Claire Danes, Diane Keaton, Rachel McAdams, Dermot Mulroney",6.3,0
129,Martin Campbell,"Roberto Orci , Alex Kurtzman , Roberto Orci , Alex Kurtzman , Ted Elliott , Terry Rossio , Johnston McCulley ","Alberto Reyes, Julio Oscar Mechoso, Gustavo Sánchez Parra, Adrian Alonso",5.9,0
140,Ron Howard,"Jim Lovell , Jeffrey Kluger , William Broyles Jr. , Al Reinert ","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",7.6,1
144,Ridley Scott,William Monahan,"Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney",7.2,1
84,David Zucker,"Craig Mazin, Pat Proft, Shawn Wayans , Marlon Wayans , Buddy Johnson , Phil Beauman , Jason Friedberg , Aaron Seltzer ","Pamela Anderson, Jenny McCarthy, Marny Eng, Charlie Sheen",5.5,0
120,Chan-wook Park,"Garon Tsuchiya , Nobuaki Minegishi , Chan-wook Park , Chun-hyeong Lim , Jo-yun Hwang ","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji",8.4,1
125,Sam Mendes,"William Broyles Jr. , Anthony Swofford ","Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx",7.1,1
99,Edgar Wright,"Simon Pegg, Edgar Wright","Simon Pegg, Kate Ashfield, Nick Frost, Lucy Davis",8,1
114,Bennett Miller,"Dan Futterman , Gerald Clarke ","Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald",7.4,1
84,Rob Schmidt,Alan B. McElroy,"Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui, Jeremy Sisto",6.1,0
92,Jason Reitman,"Jason Reitman , Christopher Buckley ","Joan Lunden, Eric Haberman, Aaron Eckhart, Mary Jo Smith",7.6,1
136,Michael Bay,"Caspian Tredwell-Owen , Alex Kurtzman , Roberto Orci , Caspian Tredwell-Owen ","Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean",6.9,1
104,Mike Nichols,"Patrick Marber , Patrick Marber ","Julia Roberts, Jude Law, Natalie Portman, Clive Owen",7.3,1
103,James Wan,"Leigh Whannell, James Wan , Leigh Whannell ","Leigh Whannell, Cary Elwes, Danny Glover, Ken Leung",7.7,1
136,Martin Campbell,"Johnston McCulley , Ted Elliott , Terry Rossio , Randall Jahnson , John Eskow , Ted Elliott , Terry Rossio ","José María de Tavira, Diego Sieres, Emiliano Guerra, Yolanda Orisaga",6.7,0
88,Stanley Kubrick,"Stanley Kubrick , Calder Willingham , Jim Thompson , Humphrey Cobb (based on the novel ""Paths of Glory"" by)","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",8.5,1
81,Mark Dindal,"Mark Dindal , Mark Kennedy , Steve Bencich , Ron J. Friedman , Ron Anderson , Robert L. Baird , Daniel Gerson , Sara Parriott , Josann McGibbon , David Reynolds , Sandra Tsing Loh ","Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart",5.8,0
83,Mamoru Oshii,"Kazunori Itô , Masamune Shirow ","Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera, Yutaka Nakano",8,1
183,Michael Cimino,"Michael Cimino , Deric Washburn , Louis Garfinkle , Quinn K. Redeker , Deric Washburn ","Robert De Niro, John Cazale, John Savage, Christopher Walken",8.2,1
120,Billy Wilder,"Billy Wilder , I.A.L. Diamond , Robert Thoeren , Michael Logan ","Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",8.3,1
93,Karyn Kusama,"Phil Hay, Matt Manfredi, Peter Chung ","Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo",5.5,0
136,James Mangold,"Johnny Cash , Johnny Cash , Gill Dennis, James Mangold","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick",7.9,1
119,Matthew Warchus,Stephen Beresford ,"Ben Schnetzer, Abram Rooney, Jim McManus, George MacKay",7.8,1
108,Luke Greenfield,"David Wagner , Brent Goldberg , Stuart Blumberg , David Wagner , Brent Goldberg ","Emile Hirsch, Elisha Cuthbert, Timothy Olyphant, James Remar",6.8,1
181,Kevin Costner,"Michael Blake , Michael Blake ","Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",8,1
115,Jean-Jacques Annaud,"Marguerite Duras , Gérard Brach , Jean-Jacques Annaud ","Jane March, Tony Ka Fai Leung, Frédérique Meininger, Arnaud Giovaninetti",6.9,1
113,David S. Goyer,"David S. Goyer, Marv Wolfman , Gene Colan ","Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel",5.9,0
125,Alejandro Amenábar,"Alejandro Amenábar , Mateo Gil ","Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera",8.1,1
94,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",7.2,1
109,John Singleton,"David Elliot, Paul Lovett","Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund",6.9,1
105,Carl Franklin,David Collard,"Denzel Washington, Eva Mendes, Sanaa Lathan, Dean Cain",6.5,0
119,Joss Whedon,Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",8,1
170,Martin Scorsese,John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",7.5,1
93,Wilson Yip,"Wilson Yip, Kam-Yuen Szeto, Wai Lun Ng","Donnie Yen, Simon Yam, Sammo Kam-Bo Hung, Jing Wu",7.1,1
109,Garth Jennings,"Douglas Adams , Douglas Adams , Karey Kirkpatrick ","Bill Bailey, Anna Chancellor, Warwick Davis, Yasiin Bey",6.8,1
119,Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston",7.3,1
109,Lexi Alexander,"Lexi Alexander , Dougie Brimson , Dougie Brimson , Josh Shelov , Lexi Alexander ","Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren",7.5,1
118,Oliver Stone,"Quentin Tarantino , David Veloz , Richard Rutowski , Oliver Stone ","Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield",7.3,1
94,Rob McKittrick,Rob McKittrick,"Ryan Reynolds, Anna Faris, Justin Long, David Koechner",6.8,1
87,"Stephen Hillenburg, Mark Osborne","Stephen Hillenburg , Stephen Hillenburg , Derek Drymon, Tim Hill, Stephen Hillenburg, Kent Osborne, Aaron Springer, Paul Tibbitt","Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke",7,1
122,Andrew Niccol,Andrew Niccol,"Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan",7.6,1
99,Neil Marshall,Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder",7.2,1
110,John Stockwell,Matt Johnson,"Paul Walker, Jessica Alba, Scott Caan, Ashley Scott",5.8,0
113,Garry Marshall,"Meg Cabot , Gina Wendkos , Shonda Rhimes , Shonda Rhimes ","Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies",5.7,0
164,Steven Spielberg,"Tony Kushner , Eric Roth , George Jonas ","Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz",7.6,1
105,Walter Salles,"Kôji Suzuki , Hideo Nakata , Takashige Ichise , Rafael Yglesias ","Jennifer Connelly, John C. Reilly, Tim Roth, Dougray Scott",5.6,0
93,Darren Lynn Bousman,"Leigh Whannell, Darren Lynn Bousman","Tobin Bell, Shawnee Smith, Donnie Wahlberg, Erik Knudsen",6.6,0
105,Ben Younger,Ben Younger,"Uma Thurman, Meryl Streep, Bryan Greenberg, Jon Abrahams",6.2,0
96,David Cronenberg,"John Wagner , Vince Locke , Josh Olson ","Viggo Mortensen, Maria Bello, Ed Harris, William Hurt",7.5,1
104,Jay Chandrasekhar,"John O'Brien , John O'Brien , Jonathan L. Davis , Gy Waldron ","Johnny Knoxville, Seann William Scott, Alice Greczyn, Steve Lemme",5.1,0
97,Rob Reiner,Ted Griffin,"Jennifer Aniston, Kevin Costner, Shirley MacLaine, Mark Ruffalo",5.5,0
103,Shane Black,"Brett Halliday , Shane Black , Shane Black ","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen",7.6,1
96,Roger Kumble,Adam 'Tex' Davis,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein",6.2,0
81,Noah Baumbach,Noah Baumbach,"Owen Kline, Jeff Daniels, Laura Linney, Jesse Eisenberg",7.4,1
90,"Bibo Bergeron, Vicky Jenson, Rob Letterman","Michael J. Wilson , Rob Letterman , Scott Aukerman , Alec Berg , Sean Bishop , BJ Porter , Jeff Schaffer , Lona Williams , David P. Smith , David Soren ","Will Smith, Robert De Niro, Renée Zellweger, Jack Black",6,0
109,Jean-François Richet,"John Carpenter , James DeMonaco ","Ethan Hawke, Laurence Fishburne, Gabriel Byrne, Maria Bello",6.3,0
89,"Brendan Malloy, Emmett Malloy",Jon Zack,"Flex Alexander, A.J. Cook, David Denman, Caroline Dhavernas",6.3,0
98,Trey Parker,"Trey Parker, Matt Stone, Pam Brady","Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo",7.2,1
90,T. Sean Shannon,"T. Sean Shannon, Greg Fields","Cuba Gooding Jr., Spencer Breslin, Nikki Blonsky, Ally Sheedy",5.5,0
98,Marcus Nispel,"Kim Henkel, Tobe Hooper, Scott Kosar ","Jessica Biel, Jonathan Tucker, Erica Leerhsen, Mike Vogel",6.2,0
101,Brad Anderson,Scott Kosar,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian",7.7,1
101,Jon Favreau,"Chris Van Allsburg , David Koepp , John Kamps ","Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart",6.1,0
101,Todd Phillips,"William Blinn , Stevie Long , John O'Brien , John O'Brien , Todd Phillips , Scot Armstrong ","Ben Stiller, Owen Wilson, Snoop Dogg, Fred Williamson",6.1,0
101,Rob Bowman,"Gregg Chabot , Kevin Peterka , Gregg Chabot , Kevin Peterka , Matt Greenberg ","Christian Bale, Matthew McConaughey, Izabella Scorupco, Gerard Butler",6.2,0
107,Nigel Cole,Colin Patrick Lynch,"Amanda Peet, Ashton Kutcher, Taryn Manning, Aimee Garcia",6.6,0
108,Jaume Collet-Serra,"Charles Belden , Chad Hayes , Carey Hayes ","Elisha Cuthbert, Chad Michael Murray, Brian Van Holt, Paris Hilton",5.3,0
90,Andrew Douglas,"Scott Kosar , Jay Anson , Sandor Stern , George Lutz , Kathy Lutz ","Ryan Reynolds, Melissa George, Jesse James, Jimmy Bennett",6,0
113,John Moore,"Lukas Heller, Scott Frank , Edward Burns ","Dennis Quaid, Tyrese Gibson, Giovanni Ribisi, Miranda Otto",6.1,0
111,Guy Ritchie,"Luc Besson , Guy Ritchie","Jason Statham, Ray Liotta, Vincent Pastore, André Benjamin",6.5,0
94,Eli Roth,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova",5.9,0
113,Peter Segal,"Albert S. Ruddy , Tracy Keenan Wynn, Sheldon Turner ","Adam Sandler, Chris Rock, Burt Reynolds, Nelly",6.4,0
94,Adam Shankman,"Sam Harper, Craig Titley , Frank B. Gilbreth Jr. , Ernestine Gilbreth Carey ","Steve Martin, Eugene Levy, Bonnie Hunt, Tom Welling",5.4,0
88,Ki-duk Kim,Ki-duk Kim,"Seung-yeon Lee, Hyun-kyoon Lee, Hyuk-ho Kwon, Jeong-ho Choi",8.1,1
103,Hayao Miyazaki,"Eiko Kadono , Hayao Miyazaki ","Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda",7.9,1
95,Adam Shankman,"Thomas Lennon, Robert Ben Garant","Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow",5.5,0
184,Uli Edel,"Diane Duane, Peter Morwood, Uli Edel","Benno Fürmann, Kristanna Loken, Alicia Witt, Julian Sands",6.7,0
119,David Dobkin,"Steve Faber, Bob Fisher","Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",7,1
212,William Wyler,"Lew Wallace , Karl Tunberg ","Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd",8.1,1
129,Fernando Meirelles,"Jeffrey Caine , John le Carré ","Ralph Fiennes, Rachel Weisz, Hubert Koundé, Danny Huston",7.5,1
156,Oliver Hirschbiegel,"Bernd Eichinger , Joachim Fest , Traudl Junge , Melissa Müller ","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes",8.3,1
124,Jonathan Hensleigh,"Jonathan Hensleigh, Michael France","A. Russell Andrews, Omar Avila, James Carpinello, Mark Collie",6.5,0
88,Otto Preminger,"Vera Caspary , Jay Dratler , Samuel Hoffenstein , Elizabeth Reinhardt ","Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",8.1,1
152,Taylor Hackford,"Taylor Hackford , James L. White , James L. White ","Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",7.7,1
110,Dennis Gansel,"Dennis Gansel, Maggie Peren","Max Riemelt, Tom Schilling, Jonas Jägermeyr, Leon A. Kersten",7.5,1
134,Ang Lee,"Annie Proulx , Larry McMurtry , Diana Ossana ","Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",7.7,1
119,Scott Derrickson,"Paul Harris Boardman, Scott Derrickson","Laura Linney, Tom Wilkinson, Campbell Scott, Jennifer Carpenter",6.7,0
97,Ernie Barbarash,Ernie Barbarash,"Zachary Bennett, David Huband, Stephanie Moore, Martin Roach",5.7,0
127,Tony Scott,"Richard Kelly , Richard Kelly , Steve Barancik ","Keira Knightley, Mickey Rourke, Edgar Ramírez, Delroy Lindo",6,0
97,Dwight H. Little,"Hans Bauer, Jim Cash, Jack Epps Jr., Hans Bauer , Jim Cash , Jack Epps Jr. , John Claflin , Daniel Zelman , Michael Miner , Edward Neumeier ","Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez",4.6,0
105,Matthew Vaughn,"J.J. Connolly , J.J. Connolly ","Daniel Craig, Tom Hardy, Jamie Foreman, Sally Hawkins",7.4,1
120,Frank Coraci,"Jules Verne , David N. Titcher , David Benullo , David Andrew Goldstein ","Jackie Chan, Steve Coogan, Cécile De France, Robert Fyfe",5.8,0
113,Florent-Emilio Siri,"Robert Crais , Doug Richardson ","Bruce Willis, Kevin Pollak, Jimmy Bennett, Michelle Horn",6.6,0
92,Gil Junger,Christina Welsh,"Jennifer Love Hewitt, Paul Nicholls, Tom Wilkinson, Diana Hardcastle",7.2,1
104,John Hillcoat,Nick Cave ,"Richard Wilson, Noah Taylor, Jeremy Madrona, Jae Mamuyac",7.4,1
116,Garry Marshall,"Josann McGibbon, Sara Parriott","Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo",5.5,0
80,"Cory Edwards, Todd Edwards, Tony Leech","Cory Edwards , Todd Edwards , Tony Leech , Todd Edwards , Cory Edwards ","Anne Hathaway, Glenn Close, Jim Belushi, Patrick Warburton",6.5,0
104,Isao Takahata,"Hisaichi Ishii , Isao Takahata, Leo Chu , Eric Garcia ","Hayato Isohata, Masako Araki, Naomi Uno, Tôru Masuoka",7.3,1
131,James L. Brooks,James L. Brooks,"Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman",6.4,0
89,Ronny Yu,"Don Mancini , Don Mancini","Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile",5.3,0
93,"Jeff Schaffer, Alec Berg, David Mandel","Alec Berg, David Mandel, Jeff Schaffer","Scott Mechlowicz, Jacob Pitts, Kristin Kreuk, Cathy Meils",6.6,0
101,"Shinji Aramaki, Steven Foster, Mary Elizabeth McGlynn","Masamune Shirow , Haruka Handa , Tsutomu Kamishiro ","Ai Kobayashi, Jûrôta Kosugi, Mami Koyama, Miho Yamada",7,1
101,Angela Robinson,"Thomas Lennon , Robert Ben Garant , Alfred Gough , Miles Millar , Thomas Lennon , Robert Ben Garant , Mark Perez , Gordon Buford ","Lindsay Lohan, Michael Keaton, Matt Dillon, Breckin Meyer",4.8,0
112,Paul Haggis,"Paul Haggis , Paul Haggis , Robert Moresco ","Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle",7.9,1
119,Woody Allen,Woody Allen,"Jonathan Rhys Meyers, Alexander Armstrong, Paul Kaye, Matthew Goode",7.7,1
105,Prachya Pinkaew,"Panna Rittikrai , Prachya Pinkaew , Suphachai Sittiaumponpan ","Tony Jaa, Petchtai Wongkamlao, Pumwaree Yodkamol, Suchao Pongwilai",7.2,1
97,Kirk Jones,"Emma Thompson , Christianna Brand (""Nurse Matilda"" books)","Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster",6.6,0
92,Rawson Marshall Thurber,Rawson Marshall Thurber,"Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn",6.7,0
122,D.J. Caruso,Dan Gilroy,"Al Pacino, Matthew McConaughey, Rene Russo, Armand Assante",6.2,0
101,John Polson,Ari Schlossberg,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue",5.9,0
105,Kevin Rodney Sullivan,"William Rose (motion picture ""Guess Who's Coming to Dinner""), David Ronn , Jay Scherick , David Ronn , Jay Scherick , Peter Tolan ","Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott",5.9,0
85,Wes Craven,"Carl Ellsworth , Carl Ellsworth , Dan Foos ","Rachel McAdams, Cillian Murphy, Brian Cox, Laura Johnson",6.5,0
101,Jean-Pierre Melville,"Jean-Pierre Melville, Georges Pellegrin","Alain Delon, François Périer, Nathalie Delon, Cathy Rosier",8.1,1
116,Pier Paolo Pasolini,"Sergio Citti , Pier Paolo Pasolini","Paolo Bonacelli, Giorgio Cataldi, Umberto Paolo Quintavalle, Aldo Valletti",6,0
103,Louis Leterrier,Luc Besson,"Jet Li, Morgan Freeman, Bob Hoskins, Kerry Condon",7,1
112,Ming-liang Tsai,Ming-liang Tsai,"Kang-sheng Lee, Shiang-chyi Chen, Yi-Ching Lu, Kuei-Mei Yang",6.6,0
90,Peter Howitt,"Aline Brosh McKenna , Aline Brosh McKenna , Robert Harling ","Pierce Brosnan, Julianne Moore, Michael Sheen, Parker Posey",5.9,0
116,Bob Gale,Bob Gale,"Matthew Edison, Paul Brogren, Wayne Robson, Gary Oldman",7.7,1
101,Robert Luketic,Anya Kochoff,"Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes",5.5,0
135,Terrence Malick,Terrence Malick,"Colin Farrell, Q'orianka Kilcher, Christopher Plummer, Christian Bale",6.7,0
80,Luc Jacquet,"Luc Jacquet , Luc Jacquet , Michel Fessler , Jordan Roberts (narration: US edited version)","Charles Berling, Romane Bohringer, Jules Sitruk, Morgan Freeman",7.6,1
139,Lars von Trier,Lars von Trier,"Bryce Dallas Howard, Isaach De Bankolé, Danny Glover, Willem Dafoe",7.4,1
144,Ron Howard,"Cliff Hollingsworth , Akiva Goldsman , Cliff Hollingsworth ","Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko",8,1
95,Bertrand Blier,Bertrand Blier,"Monica Bellucci, Bernard Campan, Gérard Depardieu, Jean-Pierre Darroussin",5.7,0
91,"Chris Wedge, Carlos Saldanha","Ron Mita , Jim McClain , David Lindsay-Abaire , David Lindsay-Abaire , Lowell Ganz , Babaloo Mandel ","Paula Abdul, Halle Berry, Lucille Bliss, Terry Bradshaw",6.3,0
94,David R. Ellis,"Larry Cohen , Chris Morgan ","Caroline Aaron, Kim Basinger, Brenda Ballard, Will Beinbrink",6.5,0
95,Mark Waters,"Peter Tolan , Leslie Dixon , Marc Lévy ","Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters",6.7,0
94,"Don Bluth, Gary Goldman, Art Vitello","Hans Bauer , Randall McCormick , Ben Edlund , John August , Joss Whedon ","Matt Damon, Bill Pullman, John Leguizamo, Nathan Lane",6.6,0
91,Alexandre Aja,"Alexandre Aja, Grégory Levasseur","Cécile De France, Maïwenn, Philippe Nahon, Franck Khalfoun",6.8,1
100,Mike Mitchell,"Paul Hernandez, Robert Schooley, Mark McCorkle","Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker",6.2,0
